What is your Gender ?,How would you rate the communication within your team and with your supervisors?,Do you feel that your work is appreciated and recognized by your supervisors?,How would you rate the work-life balance provided by the company?,Are you satisfied with the opportunities for career growth and development in the company?,How comfortable do you feel in sharing your ideas and opinions within the organizations?,Do you feel that the company culture and values align with your personal beliefs and work ethics?,How effective do you find the performance feedback and review process in helping you grow professional?,"How satisfied are you with the benefits and perks provided by the company(E.G., Healthcare,Retirement Plans,Vacation Time,ETC)?",Would you recommend the company as a good place to work to your friends or acquaintances? ,How satisfied are you with your current job overall?
Male,Good,Sometimes,Poor,Neutral,Neutral,Disagree,Effective,Neutral,Not Sure,Satisfied
Male,Good,Sometimes,Good,Satisfied,comfortable,Agree,Effective,Satisfied,Probably Yes,Satisfied
Female,Good,Always,Good,Dissatisfied,comfortable,Disagree,Effective,Satisfied,Definitely Yes,Satisfied
Female,Excellent,Always,Excellent,Satisfied,comfortable,Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Male,Good,Always,Excellent,Satisfied,Uncomfortable,Disagree,Moderately Effective,Dissatisfied,Definitely Yes,Satisfied
Male,Excellent,Always,Excellent,Satisfied,comfortable,Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Male,Good,Oftion,Good,Satisfied,Very comfortable,Strongly Agree,Highly Effective,Satisfied,Probably Yes,Neutral
Male,Good,Rarely,Good,Satisfied,Very comfortable,Neutral,Effective,Satisfied,Probably Yes,Neutral
Female,Good,Always,Good,Completely Satisfied,Very comfortable,Neutral,Effective,Neutral,Probably Yes,Satisfied
Male,Good,Sometimes,Fair,Satisfied,Neutral,Disagree,Moderately Effective,Neutral,Not Sure,Neutral
Male,Excellent,Always,Good,Satisfied,Uncomfortable,Neutral,Moderately Effective,Satisfied,Probably Not,Very Satisfied
Male,Fair,Sometimes,Fair,Satisfied,comfortable,Agree,Moderately Effective,Neutral,Probably Not,Satisfied
Male,Excellent,Always,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Male,Fair,Sometimes,Fair,Neutral,Uncomfortable,Agree,Moderately Effective,Satisfied,Probably Yes,Satisfied
Male,Fair,Oftion,Fair,Neutral,comfortable,Neutral,Effective,Satisfied,Probably Yes,Neutral
Male,Excellent,Oftion,Good,Satisfied,comfortable,Agree,Highly Effective,Satisfied,Definitely Yes,Satisfied
Male,Fair,Oftion,Good,Satisfied,comfortable,Neutral,Effective,Neutral,Not Sure,Neutral
Male,Excellent,Always,Good,Neutral,Uncomfortable,Agree,Moderately Effective,Satisfied,Definitely Yes,Satisfied;Neutral
Male,Fair,Always,Good,Satisfied,comfortable,Agree,Highly Effective,Satisfied,Definitely Yes,Neutral
Female,Fair,Sometimes,Fair,Satisfied,Neutral,Agree,Effective,Neutral,Probably Yes,Neutral
Male,Fair,Sometimes,Fair,Neutral,Neutral,Disagree,Moderately Effective,Satisfied,Probably Yes,Neutral
Male,Excellent,Oftion,Good,Satisfied,comfortable,Agree,Effective,Satisfied,Not Sure,Satisfied
Male,Fair,Oftion,Fair,Satisfied,Neutral,Neutral,Effective,Neutral,Probably Yes,Satisfied
Female,Poor,Rarely,Poor,Neutral,Uncomfortable,Neutral,Highly Effective,Neutral,Definitely Yes,Dissatisfied
Male,Excellent,Oftion,Good,Completely Satisfied,Uncomfortable,Agree,Effective,Dissatisfied,Probably Yes,Neutral
Male,Excellent,Always,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Male,Excellent,Oftion,Good,Satisfied,comfortable,Agree,Effective,Neutral,Not Sure,Very Satisfied
Male,Excellent,Sometimes,Good,Completely Satisfied,Very comfortable,Agree,Moderately Effective,Neutral,Probably Yes,Very Satisfied
Male,Good,Oftion,Fair,Satisfied;Neutral,comfortable,Agree,Effective,Satisfied,Definitely Yes,
Male,Excellent,Never,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied;Neutral
Male,Very Poor,Never,Very Poor,Completely Dissatisfied,Very Uncomfortable,Strongly Disagree,Highly Ineffective,Very dissatisfied,Definitely No,Very Dissatisfied
Male,Poor,Sometimes,Poor,Dissatisfied,Neutral,Disagree,Moderately Effective,Satisfied,Probably Not,Neutral
Male,Excellent,Always,Excellent,Satisfied,Very comfortable,Agree,Moderately Effective,Satisfied,Probably Yes,Satisfied
Male,Good,Always,Excellent,Completely Satisfied,Very comfortable,Agree,Effective,Satisfied,Definitely Yes,Very Satisfied
Male,Good,Often,Good,Neutral,comfortable,Neutral,Effective,Satisfied,Not Sure,Neutral
Male,Excellent,Always,Excellent,Satisfied,comfortable,Agree,Effective,Satisfied,Definitely Yes,Very Satisfied
Male,Good,Sometimes,Good,Neutral,comfortable,Disagree,Effective,Satisfied,Not Sure,Satisfied
Male,Excellent,Always,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Female,Fair,Often,Fair,Dissatisfied,Neutral,Neutral,Moderately Effective,Satisfied,Probably Not,Neutral
Female,Good,Rarely,Good,Satisfied,comfortable,Disagree,Effective,Satisfied,Not Sure,Dissatisfied
Male,Fair,Often,Poor,Satisfied,comfortable,Neutral,Effective,Satisfied,Not Sure,Neutral
Male,Good,Sometimes,Fair,Satisfied,Uncomfortable,Agree,Effective,Satisfied,Probably Not,Neutral
Male,Fair,Often,Fair,Dissatisfied,comfortable,Agree,Effective,Satisfied,Not Sure,Satisfied
Male,Fair,Sometimes,Poor,Dissatisfied,Neutral,Agree,Moderately Effective,Satisfied,Probably Yes,Satisfied
Female,Fair,Sometimes,Excellent;Very Poor,Neutral,Uncomfortable,Neutral,Ineffective,Dissatisfied,Not Sure,Dissatisfied
Female,Fair,Always,Fair,Neutral,Neutral,Agree,Effective,Dissatisfied,Probably Not,Satisfied
Male,Excellent,Never,Good,Satisfied,comfortable,Strongly Disagree,Highly Ineffective,Satisfied,Probably Yes,Neutral
Male,Fair,Often,Poor,Neutral,Very comfortable,Strongly Agree,Ineffective,Very Satisfied,Probably Not,Very Satisfied
Male,Fair,Often,Fair,Satisfied,comfortable,Neutral,Effective,Satisfied,Not Sure,Satisfied
Male,Good,Often,Good,Neutral,Very comfortable,Agree,Moderately Effective,Satisfied,Not Sure,Satisfied
Male,Fair,Often,Fair,Satisfied,Neutral,Agree,Effective,Neutral,Probably Yes,Satisfied
Male,Good,Often,Fair,Satisfied,Very comfortable,Agree,Effective,Satisfied,Definitely Yes,Satisfied
Male,Good,Often,Good,Satisfied,comfortable,Strongly Agree,Effective,Satisfied,Probably Yes,Very Satisfied
Male,Excellent,Always,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Highly Effective,Very Satisfied,Definitely Yes,Very Satisfied
Female,Poor,Never,Poor,Dissatisfied,Very comfortable,Disagree,Ineffective,Dissatisfied,Probably Yes,Neutral
Female,Fair,Often,Excellent,Completely Satisfied,Very comfortable,Strongly Agree,Ineffective,Neutral,Probably Yes,Satisfied
Male,Excellent,Sometimes,Poor,Dissatisfied,Very Uncomfortable,Agree,Highly Ineffective,Satisfied,Probably Not,Satisfied
Female,Fair,Often,Very Poor,Satisfied,Neutral,Strongly Disagree,Effective,Satisfied,Not Sure,Very Satisfied
Female,Very Poor,Rarely,Fair,Neutral,Very comfortable,Neutral,Moderately Effective,Dissatisfied,Not Sure,Very Dissatisfied
Female,Poor,Often,Good,Satisfied,comfortable,Neutral,Moderately Effective,Dissatisfied,Probably Yes,Neutral
Female,Fair,Sometimes,Excellent,Completely Satisfied,Neutral,Agree,Moderately Effective,Satisfied,Definitely Yes,Satisfied
Male,Very Poor,Never,Very Poor,Completely Dissatisfied,Very Uncomfortable,Strongly Disagree,Highly Ineffective,Very dissatisfied,Definitely No,Very Dissatisfied
Male,Good,Often,Fair,Neutral,comfortable,Disagree,Moderately Effective,Dissatisfied,Probably Yes,Satisfied
Male,Good,Often,Fair,Neutral,comfortable,Neutral,Moderately Effective,Satisfied,Probably Yes,Satisfied
Female,Good,Always,Good,Completely Satisfied,comfortable,Strongly Agree,Effective,Satisfied,Definitely Yes,Dissatisfied
Male,Poor,Always,Good,Dissatisfied,Neutral,Agree,Moderately Effective,Neutral,Not Sure,Dissatisfied
Male,Good,Sometimes,Fair,Dissatisfied,comfortable,Agree,Moderately Effective,Satisfied,Not Sure,Very Satisfied
Male,Good,Often,Good,Satisfied,Neutral,Neutral,Effective,Satisfied,Probably Yes,Satisfied
Male,Good,Often,Good,Dissatisfied,comfortable,Neutral,Moderately Effective,Satisfied,Probably Not,Satisfied
Male,Fair,Rarely,Poor,Satisfied,Uncomfortable,Neutral,Moderately Effective,Neutral,Probably Not,Dissatisfied
Male,Fair,Never,Poor,Dissatisfied,Very Uncomfortable,Disagree,Ineffective,Dissatisfied,Probably Not,Satisfied
Male,Excellent,Often,Good,Neutral,comfortable,Disagree,Effective,Satisfied,Probably Yes,Very Satisfied
Male,Good,Rarely,Fair,Satisfied,comfortable,Neutral,Effective,Satisfied,Probably Yes,Satisfied
Male,Excellent,Often,Fair,Satisfied,comfortable,Neutral,Effective,Satisfied,Probably Yes,Neutral
Male,Poor,Rarely,Fair,Satisfied,Uncomfortable,Agree,Moderately Effective,Satisfied,Probably Yes,Satisfied
Male,Good,Often,Poor,Neutral,Uncomfortable,Neutral,Ineffective,Neutral,Probably Not,Satisfied
Female,Good,Sometimes,Poor,Neutral,comfortable,Disagree,Moderately Effective,Satisfied,Probably Yes,Dissatisfied
Male,Fair,Often,Good,Satisfied,comfortable,Agree,Moderately Effective,Neutral,Probably Yes,Satisfied
Male,Poor,Sometimes,Good,Completely Satisfied,comfortable,Neutral,Effective,Satisfied,Probably Yes,Satisfied
Male,Good,Sometimes,Fair,Neutral,comfortable,Agree,Ineffective,Dissatisfied,Probably Yes,Satisfied
Female,Good,Often,Excellent,Satisfied,comfortable,Agree,Highly Effective,Very Satisfied,Definitely Yes,Neutral
Male,Good,Always,Good,Satisfied,Very comfortable,Neutral,Moderately Effective,Neutral,Probably Yes,Satisfied
Male,Good,Sometimes,Good,Satisfied,comfortable,Agree,Moderately Effective,Satisfied,Probably Yes,Satisfied
Male,Poor,Often,Good,Satisfied,comfortable,Disagree,Effective,Satisfied,Probably Yes,Very Satisfied
Male,Poor,Often,Good,Satisfied,Neutral,Neutral,Effective,Satisfied,Probably Yes,Satisfied
Male,Good,Sometimes,Good,Satisfied,Uncomfortable,Neutral,Effective,Neutral,Probably Yes,Satisfied
Male,Good,Often,Good,Satisfied,Very comfortable,Strongly Agree,Effective,Satisfied,Definitely Yes,Very Satisfied
Male,Poor,Rarely,Fair,Dissatisfied,Uncomfortable,Disagree,Moderately Effective,Neutral,Probably Not,Dissatisfied
Male,Fair,Rarely,Fair,Satisfied,Uncomfortable,Disagree,Moderately Effective,Neutral,Definitely Yes,Satisfied
Female,Poor,Sometimes,Fair,Satisfied,Very comfortable,Neutral,Moderately Effective,Neutral,Probably Not,Very Dissatisfied
Female,Good,Often,Good,Neutral,Neutral,Agree,Effective,Satisfied,Probably Yes,Satisfied
Female,Fair,Often,Poor,Dissatisfied,Uncomfortable,Neutral,Ineffective,Neutral,Not Sure,Dissatisfied
Male,Excellent,Always,Excellent,Completely Satisfied,Very comfortable,Agree,Effective,Neutral,Definitely Yes,Very Satisfied
Female,Poor,Sometimes,Fair,Dissatisfied,Uncomfortable,Agree,Moderately Effective,Neutral,Probably Yes,Satisfied
Female,Fair,Sometimes,Fair,Neutral,Neutral,Neutral,Moderately Effective,Satisfied,Not Sure,Neutral
Female,Fair,Sometimes,Fair,Completely Satisfied,comfortable,Agree,Effective,Satisfied,Probably Yes,Neutral
Female,Good,Often,Good,Satisfied,Neutral,Agree,Effective,Satisfied,Not Sure,Neutral
Female,Poor,Rarely,Poor,Dissatisfied,Uncomfortable,Strongly Disagree,Highly Ineffective,Neutral,Definitely No,Dissatisfied
Female,Fair,Rarely,Poor,Dissatisfied,Uncomfortable,Disagree,Ineffective,Satisfied,Probably Not,Satisfied
Female,Good,Often,Fair,Satisfied,comfortable,Neutral,Effective,Satisfied,Not Sure,Satisfied
Female,Poor,Sometimes,Good,Satisfied,Uncomfortable,Agree,Ineffective,Neutral,Probably Yes,Satisfied
Female,Poor,Rarely,Poor,Satisfied,Neutral,Disagree,Ineffective,Dissatisfied,Not Sure,Satisfied
Female,Good,Sometimes,Fair,Neutral,Neutral,Agree,Ineffective,Neutral,Probably Not,Satisfied
